ADDRESS|TIME_ZONE|CITY_NAME|STATUS_CODE|PROVINCE_STATE_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|GENERIC_LOCATION_CODE|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|CET||||||Crusinallo|Crusinallo|||||||||||8322023|UIC
|CET||||||Cuzzago|Cuzzago|||||||||||8322024|UIC
|CET||||||Cuzzego di Cardezza|Cuzzego di Cardezza|||||29||||||8322025|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322026|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322027|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322029|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322030|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322031|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322032|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322033|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322034|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322035|UIC
|CET||||||Domodossola|Domodossola|||||||||||8322036|UIC
|CET||||||Fondotoce (ex stab. Gewa)|Fondotoce (ex stab. Gewa)|||||29||||||8322037|UIC
|CET||||||Fondovalle|Fondovalle|||||29||||||8322038|UIC
|CET||||||Foppiano|Foppiano|||||29||||||8322039|UIC
|CET||||||Gabbio|Gabbio|||||29||||||8322040|UIC
|CET||||||Giosio|Giosio|||||29||||||8322041|UIC
|CET||||||Gozzi|Gozzi|||||29||||||8322042|UIC
|CET||||||Gravellona Toce|Gravellona Toce|||||||||||8322043|UIC
|CET||||||Gravellona Toce|Gravellona Toce|||||||||||8322044|UIC
|CET||||||Gravellona Toce|Gravellona Toce|||||||||||8322045|UIC
|CET||||||Macugnaga|Macugnaga|||||||||||8322049|UIC
|CET||||||Macugnaga|Macugnaga|||||||||||8322050|UIC
|CET||||||Macugnaga|Macugnaga|||||||||||8322051|UIC
|CET||||||Macugnaga|Macugnaga|||||||||||8322052|UIC
|CET||||||Masera|Masera|||||||||||8322055|UIC
|CET||||||Megolo Mezzo|Megolo Mezzo|||||29||||||8322057|UIC
|CET||||||Migiandone Bivio|Migiandone Bivio|||||29||||||8322058|UIC
|CET||||||Miramonti|Miramonti|||||29||||||8322059|UIC
|CET||||||Mocogna|Mocogna|||||29||||||8322060|UIC
|CET||||||Molini|Molini|||||29||||||8322061|UIC
|CET||||||Montecrestese|Montecrestese|||||29||||||8322062|UIC
|CET||||||Nava|Nava|||||29||||||8322063|UIC
|CET||||||Naviledo|Naviledo|||||29||||||8322064|UIC
|CET||||||Oira|Oira|||||29||||||8322065|UIC
|CET||||||Omegna|Omegna|||||||||||8322066|UIC
|CET||||||Omegna|Omegna|||||||||||8322067|UIC
|CET||||||Omegna|Omegna|||||||||||8322068|UIC
|CET||||||Ornavasso|Ornavasso|||||||||||8322070|UIC
|CET||||||Pallanza|Pallanza|||||||||||8322072|UIC
|CET||||||Pallanzeno|Pallanzeno|||||||||||8322073|UIC
|CET||||||Passo|Passo|||||29||||||8322074|UIC
|CET||||||Piedilago|Piedilago|||||29||||||8322075|UIC
|CET||||||Piedimulera|Piedimulera|||||||||||8322076|UIC
|CET||||||Piedimulera|Piedimulera|||||||||||8322077|UIC
|CET||||||Pieve Vergonte|Pieve Vergonte|||||||||||8322078|UIC
|CET||||||Ponte di Crevola|Ponte di Crevola|||||29||||||8322079|UIC
|CET||||||Ponte Formazza|Ponte Formazza|||||29||||||8322080|UIC
|CET||||||Pontegrande|Pontegrande|||||29||||||8322081|UIC
|CET||||||Pontemaglio|Pontemaglio|||||29||||||8322082|UIC
|CET||||||Pontetto di Montecrestese|Pontetto di Montecrestese|||||29||||||8322083|UIC
|CET||||||Prata di Vogogna|Prata di Vogogna|||||29||||||8322084|UIC
|CET||||||Preglia di Crevoladossola|Preglia di Crevoladossola|||||29||||||8322086|UIC
|CET||||||Premia (IT)|Premia (IT)|||||29||||||8322087|UIC
|CET||||||Riale di Formezza|Riale di Formezza|||||29||||||8322089|UIC
|CET||||||Rivasco|Rivasco|||||29||||||8322090|UIC
|CET||||||Roldo|Roldo|||||29||||||8322091|UIC
|CET||||||Rumianca|Rumianca|||||29||||||8322092|UIC
|CET||||||San Carlo|San Carlo|||||29||||||8322093|UIC
|CET||||||San Lorenzo|San Lorenzo|||||29||||||8322094|UIC
|CET||||||San Michele|San Michele|||||29||||||8322095|UIC
|CET||||||San Rocco|San Rocco|||||29||||||8322096|UIC
|CET||||||Valbianca|Valbianca|||||29||||||8322099|UIC
|CET||||||Valdo|Valdo|||||29||||||8322100|UIC
|CET||||||Vanzone|Vanzone|||||29||||||8322101|UIC
|CET||||||Varzo|Varzo|||||||||||8322102|UIC
|CET||||||Verbania Intra|Verbania Intra|||||||||||8322103|UIC
|CET||||||Villadossola|Villadossola|||||||||||8322105|UIC
|CET||||||Villadossola|Villadossola|||||||||||8322106|UIC
|CET||||||Villadossola|Villadossola|||||||||||8322109|UIC
|CET||||||Villadossola|Villadossola|||||||||||8322110|UIC
|CET||||||Villadossola|Villadossola|||||||||||8322111|UIC
|CET||||||Villadossola|Villadossola|||||||||||8322112|UIC
|CET||||||Vogogna|Vogogna|||||||||||8322113|UIC
|CET||||||Vogogna/Piedimulera|Vogogna/Piedimulera|||||29||||||8322114|UIC
|CET||||||Villa di Chiavenna|Villa di Chiavenna|||||||||||8357035|UIC
|CET||||||Taufers i.M./Tubre|Taufers i.M./Tubre|||||||||||8367746|UIC
|CET||||||Malpensa Aeroporto|Malpensa Aeroporto|||||||||||8377446|UIC
|CET||||||Taufers i.M./Tubre|Taufers i.M./Tubre|||||||||||8385249|UIC
|CET||||||Laatsch/Laudes|Laatsch/Laudes|||||||||||8387429|UIC
|CET||||||Malles|Malles|||||||||||8388348|UIC
|CET||||||P.M. Teatino|P.M. Teatino|||||29||||||8390262|UIC
|CET||||||Taufers i.M./Tubre|Taufers i.M./Tubre|||||||||||8391087|UIC
|CET||||||Paris Nord|Paris Nord|||||29||||||8700014|UIC
|CET||||||Budapest-Keleti|Budapest-Keleti|||||29||||||5500003|UIC
|CET||||||GY?R|GY?R|||||||||||5595509|UIC
|CET||||||Gy?r-Gyarvaros|Gy?r-Gyarvaros|||||||||||5500585|UIC
|CET||||||Kelenf?ld|Kelenf?ld|||||||||||5500008|UIC
